Device Name		| IP Public		| IP Private
---------------------------------------------------------------------
SOMDEJ-EC-01		|			| 10.211.211.24
RICOH-EC-01		| 203.151.77.9		| 172.16.8.10
PWA-EC-01		|			| 110.76.152.139
One-Conference-EC-01	| 203.154.187.5		| 192.168.11.11
MRG			| 118.172.127.208	| 192.168.1.63
Merchant		| 203.151.63.141	| 192.168.10.76
INETMS-SCG-EC-01	| 203.151.106.129	| 172.30.246.7
INETMS-EP-POC-01	| 203.150.237.100	| 10.211.211.34
INETMS-EP-03		| 203.150.149.247	| 10.211.211.39
INETMS-EP-01		|			| 10.211.211.42
INETMS-EC-Pilot-01	| 203.150.237.97	| 10.211.211.23
INETMS-Console-01	| 203.150.237.98	| 10.211.211.3
INETMS-APP-HOST-01	| 203.150.237.99	| 10.211.211.13
hospital		|			| 10.211.211.25
eventcollector (ThaiID)	| 203.150.237.24	| 192.168.3.201
EC (NSTDA)		| 203.151.105.222	| 10.228.66.109
EC (CLOUD-SOC)		| 203.150.143.131	| 192.168.88.1
